商家名称,商家地址,纬度,经度,营业时间,评价,评价数
Mini小厨,天津市南开区南丰路29、31号,39.124214,117.167007,['10:00/22:00'],4.9,137
"MISS MI米小姐粥吧(大学城店)",天津市西青区精武镇付村商业街C1-07,39.053363,117.123225,"['07:00/13:40', '16:00/21:00']",4.5,853
MK鸭货,天津市津南区咸水沽镇永安里13号平房,38.985321,117.38286,['10:00/02:55'],4.7,103
MK鸭货(万科四季店),天津市西青区张家窝镇四季花城枫雅道200号四季博园配建一108号,39.054621,117.030461,['09:00/22:00'],4.8,22
MK鸭货(东丽店总店),天津东丽区华新街第一菜市场B4号,39.104666,117.352324,['13:30/03:00'],4.6,119
MK鸭货（宜白路店）,天津市北辰区普东街宜白路北人防旁,39.189552,117.203217,['10:40/23:45'],4.8,79
MOKO私厨,天津市西青区精武镇付村荣水里26-3-301,39.053204,117.123257,['09:40/20:00'],5,3
MOMO冰品(小海地店),天津市河西区陈塘庄街东江道53号部分,39.067715,117.261965,['10:30/22:00'],4.9,71
momo冰品(河北店),天津市河北区王串场街正兴里13门107栋,39.150438,117.221755,['11:00/22:00'],4.9,76
MONICA餐吧(南开大学店),天津市城泰消费品综合市场2号,39.102024,117.162921,['10:10/20:00'],4.7,25
MOODNI摩点,天津市西青区精武镇学畔馨园底商S8-108号,39.04916,117.123857,['09:00/21:00'],4.9,43
"Mr sweet",天津市西青区大寺镇爱尚街6号楼104B,39.01172,117.254518,['08:30/20:00'],0,0
Mr堡(汉堡专营店),天津市南开区南开二马路182号,39.125133,117.1773,['08:00/20:50'],4.8,1054
No.18咖啡西餐家居设计,天津市武清区东蒲洼街翠通路东侧尚悦家园44号楼-108,39.391087,117.020011,['10:30/21:00'],0,0
No.1麻辣烫,天津市河西区泗水道163号,39.053749,117.261077,['10:00/21:00'],4.9,670
numnum三明治,天津市河东区津滨大道53号1050号,39.124337,117.256596,['10:00/21:40'],4.8,54
N多寿司,天津市武清区东蒲洼街尚东金街572号,39.404529,117.01284,['10:00/22:00'],4.5,0
O记黄焖鸡米饭,河西区吉万里9-105-108,39.103079,117.221475,['09:00/23:00'],4.6,550
PLAYEAT亲子餐厅(奥城店),天津市南开区宾水西道与凌宾路交口西南侧奥城商业广场24-106,39.077252,117.170362,['10:00/20:00'],4.4,8
P姐炸鸡（玉锦路店）,天津市西青区张家窝镇玉锦路9-208号,39.063051,117.042124,['10:30/23:55'],4.8,52
royaltea皇茶（大学城店）,天津市西青区精武镇姚村景福花园商业2号楼6号,39.057208,117.11856,['10:00/22:00'],4.8,27
royaltea皇茶(海天馨苑店),天津市津南区双港镇海天馨苑诚勤园25号楼110（A8)101-A室,39.053083,117.292142,['10:00/21:30'],4.6,5
royaltea皇茶(顺源大厦店),天津市河东区大王庄街道六纬路津顺源大厦3-302,39.118422,117.227622,['07:30/01:00'],4.9,288
SCUGNIZZO顽童披萨(下瓦房店),河西区吉万里9-109-112,39.107994,117.221969,['11:00/20:30'],4.8,186
SCUGNlZZO顽童披萨(河北路店),天津市和平区劝业场街河北路105号1-3,39.125081,117.195919,['11:00/20:30'],4.8,99
"Seven Days餐厅",天津市东丽区新立街道驯海路搅拌站旁30米,39.106256,117.343235,"['09:30/14:30', '15:30/21:00']",4.6,222
Sizzler·时时乐(天津大悦城店),天津市南开区南门外大街2号（大悦城北区4F-21号）,39.135474,117.180273,['11:00/21:00'],5,0
Sizzler·时时乐(天津天河城店),天津市和平区小白楼街263号天津天河城第六层610A商铺,39.133031,117.210579,['10:00/22:00'],0,0
"Slow City慢城(东丽店)",天津市东丽区先锋路61号汇城广场（恒星世界）一层8102号,39.084531,117.306382,['08:00/20:50'],5,494
SlowCity慢城(天佑城店),天津市南开区南马路与西马路交口东北侧如意大厦101（星光天地第一层122号）,39.138248,117.172949,['08:00/21:00'],4.9,609
SlowCity慢城(蛋糕店),河西区乐园道9号（彩悦城阳光乐园购物中心一层1B-01）,39.091367,117.219937,['09:00/20:00'],4.9,45
"slowcity慢城(金钟河大街店) ",天津市河北区万柳村大街56号（华润万家超市一层S23、25）,39.155864,117.217517,['08:00/21:00'],4.9,714
SMLART麻辣香锅(邵公庄店),天津市红桥区丁字沽街风光里1-1-157,39.174917,117.167318,['09:30/21:00'],4.7,273
SO轻食,天津市红桥区锦西南里底商-101,39.183104,117.133765,['10:00/20:00'],4.9,432
SUSU轻食沙拉,天津市和平区劝业场街哈尔滨道143号3-111-115一层,39.123962,117.201019,['09:00/20:00'],4.8,400
"THE FRYPAN韩国炸鸡啤酒（大润发店）",天津市河西区大沽南路1118号号泉汇购物广场W1011号,39.067885,117.282594,['09:30/21:10'],4.8,589
VC果蔬（三水道）,河西区三水道松江例煤业门市部内180号,39.0575883879832,117.256880663323,['08:00/19:30'],4.7,25
WaKa哇咔茶饮(南大店),天津市城泰消费品综合市场A9,39.101698,117.163255,['10:00/21:05'],5,56
Winner桶饭(万源路菜市场店),天津市西青区中北镇万源路菜市场南街45号增2号,39.11714,117.086544,"['10:20/13:05', '15:50/20:30']",4.8,199
YATOO.鸭途,天津市西青区张家窝镇人祥北里第二组6号门脸,39.058915,117.039762,['09:00/23:00'],4.1,4
yoyo茶巷,天津市武清区东蒲洼街保利上河雅颂金街24-1-104-1号,39.379873,117.035275,['10:00/22:00'],4.9,82
YummyBox美盒披萨(伊势丹店),天津市和平区劝业场街南京路108号现代城项目8层L803A,39.119266,117.197317,['10:25/21:00'],4.4,6
ZQZ炸鸡店,天津市西青区精武镇工南路姚村文博园1号楼底商1-06,39.057229,117.11562,"['10:00/14:00', '16:00/22:30']",4.9,170
一个便当,天津市津南区八里台镇巨葛庄村菜市场8排2号底商,38.979258,117.326759,['10:00/19:00'],4.8,0
一人一杯奶茶店,天津市西青区西营门街津静路6号王顶堤商贸城E区小吃街C座一层58号,39.096283,117.100248,['10:30/20:00'],4.5,28
一人食,天津市红桥区邵公庄街道西青道9号楼4门101,39.1544487078857,117.145633253025,['09:30/18:55'],4.9,442
一口酸牛奶(商贸城店),天津市西青区西营门街津静路6号王顶堤商贸城E区小吃街A座1层31号,39.095025,117.100426,['11:25/21:30'],4.6,16
一口香湖南米粉臭豆腐,天津市城泰消费品综合市场食廊区1号,39.100698,117.16356,['09:30/21:00'],4.8,44
一号水果店,天津市西青区精武镇姚村景福花园智达里4-2-102-2,39.056176,117.115107,['09:00/21:20'],4.5,59
一品大虾,天津市红桥区西于庄街道新红路181号,39.171505,117.165939,"['00:00/03:30', '10:00/23:55']",0,0
一品好粥道（天邦店）,天津市河西区大沽南路1118号泉汇购物广场四层4-10号,39.0685,117.281631,['10:15/20:50'],4.9,356
一品烧烤,天津市河西区小海地东江道45号市场内虎1号,39.06688,117.26474,['15:30/19:50'],5,13
一品状元粥(华兴道店),河东区春华公寓1-4门部分（101室）,39.140434,117.214805,['08:30/21:50'],4.5,50
一品酱香大骨头,天津市津南区辛庄镇金地艺境名苑2004,39.021932,117.345957,['09:00/23:00'],4.6,9
一品锅贴王,天津市亿通源商贸有限公司咸开178号,39.186321,117.142137,['10:00/20:30'],4.8,188
一品香菜馆,天津市北辰区宜兴埠镇万达轮胎厂新村2号,39.214226,117.234479,['00:00/24:00'],4.1,37
一品香锅贴,天津市西青区张家窝镇董庄子步行街14-6号门脸,39.060451,117.03892,['10:00/21:00'],4.5,32
一品香麻辣烫(杨伍庄店),天津市西青区张家窝镇杨伍庄盈水园22号底商,39.072215,117.066408,['08:00/21:30'],0,0
一品鲜麻辣牛肚,天津市西青区精武镇荣华道16号床单二厂门脸房3号,39.062588,117.117838,['08:30/22:30'],4.4,445
一哥龙虾馆(南市店),天津市和平区小白楼街承德道22号101室,39.127209,117.208094,['09:10/04:00'],4.8,342
一坐一忘丽江主题餐厅(嘉里汇店),天津市河东区六纬路238号“天津嘉里汇”L1层L1021单元,39.127239,117.216953,['11:00/21:00'],4.9,80
一夫茶(和悦汇店),天津市河西区黑牛城道与内江北路交口西北侧七贤南里配建二第1层第七贤南里115号底商,39.08042,117.24398,['10:00/22:00'],0,0
一定好生日蛋糕,天津市河东区爱琴海购物公园玫瑰天街322,39.12168,117.25453,['00:00/24:00'],4.9,14
一家人烧烤,天津市西青区精武镇付村星期八商业街A区106-1号,39.06241,117.140618,['15:30/23:00'],4.3,457
一家人特色家常菜,天津市西青区精武镇学畔馨园S1-115二楼,39.058525,117.116139,"['09:30/14:00', '14:05/22:30']",5,0
一家小龙虾(熙悦汇店),天津市南开区向阳路街建设路28号文勇蔬菜市场内B31号,39.134532,117.128303,['10:00/22:00'],4.8,70
一怡圆云南过桥米线,天津市南开区南大道63号兴盛里2楼8门底商,39.140056,117.166278,['10:00/01:00'],4.8,163
